-17897	Bert Corona Charter School	""		CA	1		0	2026-01-26 21:00:31	1769461231	17987	1
-17896	Ivy Academia Charter School	""		CA	1		0	2026-01-26 21:00:26	1769461226	17986	1
-17895	Atlace Network of Charter Schools	""		CA	1		0	2026-01-26 21:00:16	1769461216	17985	1
-17894	Gateway Charter Schools	""		CA	1		0	2026-01-26 20:59:53	1769461193	17984	1
-17893	CORE Charter School Camptonville Academy	""		CA	1		0	2026-01-26 20:59:01	1769461141	17983	1
-17892	Feaster (Mae L.) Charter School	""		CA	1		0	2026-01-26 20:58:15	1769461095	17982	1
-17891	Heritage Peak Charter School	""		CA	1		0	2026-01-26 20:58:11	1769461091	17981	1
-17890	Caliber Charter School	""		CA	1		0	2026-01-26 20:57:36	1769461056	17980	1
-17889	Westlake Charter School	""		CA	1		0	2026-01-26 20:57:13	1769461033	17979	1
-17888	CORE Charter School	""		CA	1		0	2026-01-26 20:57:09	1769461029	17978	1
-17887	Wilder's Preparatory Academy Charter School	""		CA	1		0	2026-01-26 20:55:22	1769460922	17977	1
-17886	America's Finest Charter School	""		CA	1		0	2026-01-26 20:54:43	1769460883	17976	1
-17885	Alder Grove Charter School	""		CA	1		0	2026-01-26 20:54:40	1769460880	17975	1
-17884	Yuba River Charter School	""		CA	1		0	2026-01-26 20:54:33	1769460873	17974	1
-17883	Achieve Charter School of Paradise	""		CA	1		0	2026-01-26 20:54:30	1769460870	17973	1
-17882	Bridges Charter School	""		CA	1		0	2026-01-26 20:54:16	1769460856	17972	1
-17881	Success One! Charter School	""		CA	1		0	2026-01-26 20:54:11	1769460851	17971	1
-17880	Yu Ming Charter School	""		CA	1		0	2026-01-26 20:54:03	1769460843	17970	1
-17879	Leonardo Da Vinci Health Sciences Charter School	""		CA	1		0	2026-01-26 20:53:59	1769460839	17969	1
-17878	Kid Street Charter School	""		CA	1		0	2026-01-26 20:53:56	1769460836	17968	1
-17877	Circle of Independent Learning Charter School	""		CA	1		0	2026-01-26 20:53:30	1769460810	17967	1
-17876	Odyssey Charter School	""		CA	1		0	2026-01-26 20:53:14	1769460794	17966	1
-17875	Pasadena Rosebud Academy Charter School	""		CA	1		0	2026-01-26 20:52:42	1769460762	17965	1
-17874	Arts in Action Community Charter Schools	""		CA	1		0	2026-01-26 20:52:14	1769460734	17964	1
-17873	Keyes to Learning Charter School	""		CA	1		0	2026-01-26 20:52:11	1769460731	17963	1
-17872	William Finch Charter School	""		CA	1		0	2026-01-26 20:52:08	1769460728	17962	1
-17871	Urban Charter Schools Collective	""		CA	1		0	2026-01-26 20:52:05	1769460725	17961	1
